,5,10,15,20,25,30
900.0,200.72455391805562,211.42151905757297,194.21590061827183,171.29315340181589,147.28149224173725,123.55959602252682
1000.0,239.12511786812564,263.2027043977994,252.8398323550823,234.3437024511457,213.52508845472354,192.25845198077513
1110.0,282.00429676434663,321.1179129094506,318.47689502248295,304.9914139492882,287.7957939075995,269.32031121016627
1200.0,317.59583720087494,369.25570890602137,373.08017735810864,363.8008576369481,349.6528316732726,333.5292704739271
1300.0,357.6943337421718,423.55282758402734,434.7153236092055,430.22003764430804,419.54440712165285,406.1046259513877
1400.0,398.3927773709935,478.7254910229158,497.38876400452796,497.7934741535019,490.6803292698623,479.9979159600716
